,Main_Type,Sub_Type
N/A,DR_Type,DR_Type
保險業,Finance,Insurance
光電業,Electronic,Opto
其他業,Others,Others
其他電子業,Electronic,Others
化學工業,Traditional,Chemical
半導體業,Electronic,Semi
塑膠工業,Traditional,Plastic
建材營造業,Traditional,Construction
文化創意業,Others,Culture
橡膠工業,Traditional,Rubber
水泥工業,Traditional,Cement
汽車工業,Traditional,Cars
油電燃氣業,Traditional,Gas
玻璃陶瓷,Traditional,Glass
生技醫療業,Biotech,Biotech
紡織纖維,Traditional,Fabric
航運業,Others,Shipping
觀光事業,Others,Tourism
證券業,Finance,Security
貿易百貨業,Others,Department
資訊服務業,Electronic,Service
農業科技業,Traditional,Agri-Tech
通信網路業,Electronic,Communications
造紙工業,Traditional,Paper
金控業,Finance,Holdings
銀行業,Finance,Banking
鋼鐵工業,Traditional,Steel
電器電纜,Traditional,Cable
電子商務,Electronic,E-Commerce
電子通路業,Electronic,Distribution
電子零組件業,Electronic,Components
電機機械,Traditional,Machinery
電腦及週邊設備業,Electronic,Computers
食品工業,Traditional,Food
